dist_name,performance_tier,final_z_standardized,component_rank_spread,assist_status
Hanford Elementary (Kings),Moderate Overperformer,1.4280314140713397,97.0,Differentiated
Hanford Joint Union High (Kings),Moderate Overperformer,0.6860731273868168,587.0,Differentiated
Happy Camp Union Elementary (Siskiyou),Significant Underperformer,-1.809409881897611,57.0,General
Happy Valley Elementary (Santa Cruz),Moderate Overperformer,1.159592933374736,188.0,General
Happy Valley Union Elementary (Shasta),Moderate Overperformer,0.5782518895942641,344.0,Differentiated
Hart-Ransom Union Elementary (Stanislaus),Expected Performer,0.3590459624730624,433.0,Differentiated
Hawthorne (Los Angeles),Expected Performer,0.4805505709620737,317.0,Differentiated
Hayward Unified (Alameda),Significant Underperformer,-1.6605866311123145,67.0,Differentiated
Healdsburg Unified (Sonoma),Moderate Overperformer,0.678677757831773,232.0,General
Heber Elementary (Imperial),Moderate Overperformer,1.0446382063946027,407.0,Differentiated
Helendale Elementary (San Bernardino),Moderate Underperformer,-0.97784512467184,257.0,Differentiated
Hemet Unified (Riverside),Moderate Underperformer,-0.7744288175468992,124.0,Differentiated
Hermosa Beach City Elementary (Los Angeles),Moderate Overperformer,0.5206691666655756,511.0,General
Hesperia Unified (San Bernardino),Significant Underperformer,-1.5395576428946933,192.0,Differentiated
Hillsborough City Elementary (San Mateo),Moderate Overperformer,0.9889093184155785,227.0,General
Hilmar Unified (Merced),Expected Performer,-0.13966905010178532,138.0,General
Hollister (San Benito),Moderate Underperformer,-1.332291257317043,396.0,Differentiated
Holtville Unified (Imperial),Moderate Overperformer,1.1733816090391878,242.0,General
Hope Elementary (Santa Barbara),Significant Overperformer,2.3879303766627515,354.0,General
Hope Elementary (Tulare),Significant Overperformer,2.4032865980246774,146.0,General
Horicon Elementary (Sonoma),Significant Underperformer,-2.1128559994049905,143.0,Differentiated
Hornbrook Elementary (Siskiyou),Moderate Underperformer,-0.6205130494668651,454.0,Differentiated
Howell Mountain Elementary (Napa),Significant Underperformer,-2.1128559994049905,6.0,General
Hueneme Elementary (Ventura),Moderate Underperformer,-1.3748958476210709,105.0,Differentiated
Hughes-Elizabeth Lakes Union Elementary (Los Angeles),Expected Performer,-0.335359206562059,293.0,General
Hughson Unified (Stanislaus),Expected Performer,0.12265319065749454,117.0,Differentiated
Huntington Beach City Elementary (Orange),Significant Overperformer,1.5155296156000397,216.0,Differentiated
Huntington Beach Union High (Orange),Significant Overperformer,1.6056563393264662,275.0,Differentiated
Hydesville Elementary (Humboldt),Significant Overperformer,1.6209710229568934,167.0,General
