District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Linns Valley-Poso Flat Union (Kern),Kern,Elementary School District,No,K-08,93226,"""Glennville                    """,22,N/A,0,0,0,0,18.2,0,4.5,0,77.3,72.7,N/A,24,N/A,N/A,11,0,2,N/A,N/A,0,9,0,22.7,18.18,54.55,30347,0,0,60,9,6,13,13
Little Lake City Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,90670,"""Santa Fe Springs              """,3535,9.1,0,3,1.3,1.5,89.8,0.3,1,0.1,3,78.2,11.23,11,N/A,N/A,19.3,7,173,187,180,12,17,1.6,14.9,44.19,60.24,21982,0,0,61,8,8,8,14
Little Shasta Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96064,"""Montague                      """,18,N/A,0,0,0,0,22.2,0,0,0,77.8,55.6,N/A,22,N/A,N/A,9,0,2,185,180,0,14,0,5.6,redacted,redacted,28654,0,0,54,0,14,17,14
Live Oak Elementary (Santa Cruz),Santa Cruz,Elementary School District,No,K-08,95062,"""Santa Cruz                    """,1669,20.2,0.5,1.7,1.7,0.8,55.1,0.1,3.2,0.1,36.7,57,10.78,40,N/A,N/A,18.8,17,69,186,180,24,10,2.6,13.3,37.63,46.46,18643,0,0,55,9,12,13,10
Live Oak Unified (Sutter),Sutter,Unified School District,No,K-12,95953,"""Live Oak                      """,2070,13.8,0.7,11.7,1.8,0.4,59.7,0.2,1.2,0,24.3,77.3,27,41,94.3,92.7,20.3,1,96,186,180,10,13,3.4,16.3,36.72,51.98,18560,0,1,60,13,6,8,9
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,No,K-12,94551,"""Livermore                     """,12968,9.3,0.2,15.7,1.5,2.7,32.3,0.2,8.8,0,38.5,19.7,17.43,57,97.2,93.9,20.8,30,600,186,180,56,15,2.3,12.9,50.44,61.92,16839,0,1,61,10,5,13,9
Livingston Union (Merced),Merced,Elementary School District,No,K-08,95334,"""Livingston                    """,2550,37.8,0.2,13,0.8,0.5,82.3,0.1,0.2,0.1,2.7,78.9,23.84,19,N/A,N/A,21.8,12,103,184,180,15,14,3.3,13.6,25.5,32.42,17631,0,0,55,10,8,10,15
Lodi Unified (San Joaquin),San Joaquin,Unified School District,No,K-12,95240,"""Lodi                          """,29990,18.3,0.4,19,6.4,3.4,48.7,0.8,4,1.3,16,72,16.8,54,91.2,90.3,19.8,71,1365,185,180,154,14,4.6,22.9,29.24,38.23,18750,0,1,59,10,6,12,12
Loleta Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95551,"""Loleta                        """,82,20.7,36.6,0,0,0,46.3,0,0,2.4,14.6,85.4,6.1,45,N/A,N/A,13.7,1,3,182,180,3,9,7.8,53.5,7.5,7.32,33586,0,0,43,11,12,11,9
Loma Prieta Joint Union Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95033,"""Los Gatos                     """,425,4.5,0,4.5,0.2,0.9,19.1,0,10.8,1.2,63.3,12.7,9.88,38,N/A,N/A,20.2,1,19,185,180,4,12,0.5,8,75.76,75.42,20050,0,0,52,10,13,10,9
Lompoc Unified (Santa Barbara),Santa Barbara,Unified School District,No,K-12,93436,"""Lompoc                        """,9381,14.3,0.5,1.4,1.8,1,70.9,0.2,4.3,1.5,18.4,67.4,16.91,30,92.3,90.5,19,29,437,N/A,N/A,60,14,4.4,23.6,20.81,31.99,18864,0,1,53,11,6,10,13
Lone Pine Unified (Inyo),Inyo,Unified School District,No,K-12,93545,"""Lone Pine                     """,283,14.5,8.5,1.4,0.4,0.4,54.8,0,11.3,0,23.3,57.2,18.37,47,83.3,81.8,14.6,5,11,N/A,N/A,9,10,5.4,26.4,32.09,37.69,27473,0,1,44,5,11,10,19
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90810,"""Long Beach                    """,62947,16,0.1,7,12.1,3.2,59.2,1,5.6,0,11.8,60,16.42,45,87.1,86.1,23.5,211,2397,184,180,343,15,4.1,26.2,38.5,51.72,21199,0,1,59,11,5,12,11
Loomis Union Elementary (Placer),Placer,Elementary School District,No,K-08,95650,"""Loomis                        """,2831,2.7,0.2,2.3,0.5,0.5,13.5,0,7.8,0.5,74.7,13.1,3.14,27,N/A,N/A,19.4,10,138,N/A,N/A,12,14,1.1,6.2,64.04,70.91,14167,0,0,59,8,7,10,14
Los Alamitos Unified (Orange),Orange,Unified School District,No,K-12,90720,"""Los Alamitos                  """,8740,2,0.1,14.3,2.3,2.8,30.3,0.6,10.8,1.4,37.4,17.6,9.1,59,96.9,97.6,23.4,6,385,186,180,12,16,1.5,10.1,64.43,75.91,16527,0,0,67,8,7,9,9
Los Altos Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,94024,"""Los Altos                     """,3370,10.5,0.1,40.5,0.3,0.8,10.3,0.1,13,0.2,34.6,7.3,26.41,54,N/A,N/A,19.2,4,170,186,180,9,16,0.4,5.4,85.46,85.46,24426,0,0,63,6,10,11,10
Los Angeles County Office of Education (Los Angeles),Los Angeles,County Office of Education (COE),No,K-12,90242,"""Downey                        """,8731,16.4,0.2,2.5,11.9,1.3,72.2,0.2,2.7,0.9,8.1,76.4,32.65,30,83.4,80.9,17.8,77,372,183,183,143,9,6.5,22.7,30.23,59.21,N/A,2,0,23,17,21,19,6
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90017,"""Los Angeles                   """,516685,18.6,0.1,3.3,7.1,1.6,73.6,0.2,2.1,2.2,9.7,82,30.13,28,88.5,88.6,19.4,1440,23442,183,180,3431,15,0.5,23.9,36.76,46.45,29292,0,2,51,13,7,16,11
Los Banos Unified (Merced),Merced,Unified School District,No,K-12,93635,"""Los Banos                     """,11041,22.9,0.2,0.8,1,0.7,87.5,0.5,0.9,0,8.4,80.8,26.53,14,96.1,95.8,21.6,26,460,184,182,53,14,5.5,22.9,21.39,33.91,19916,0,1,60,9,6,11,11
Los Gatos Union Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95032,"""Los Gatos                     """,2776,7.5,0.1,28.4,1,0.6,9.8,0.1,10.3,1.9,47.8,6,20.24,50,N/A,N/A,20.8,0,135,186,180,1,18,1,5.5,77.24,79.37,22341,0,0,68,5,9,9,9
Los Gatos-Saratoga Union High (Santa Clara),Santa Clara,High School District,No,09-12,95030,"""Los Gatos                     """,3084,2.3,0.1,34,0.3,0.6,9.5,0.1,9.3,6,40.1,5.6,31.23,51,96.6,95.4,20.2,3,172,186,180,5,17,0.7,9.6,67.61,83.51,27341,0,3,54,11,7,11,12
Los Molinos Unified (Tehama),Tehama,Unified School District,No,K-12,96055,"""Los Molinos                   """,549,19.9,1.8,1.1,0.2,0,50.3,0,4,1.1,41.5,67.9,13.84,40,88.2,87.5,18.3,6,20,185,180,12,8,6.7,20.1,31.67,37.32,18812,0,2,53,10,7,11,11
Los Nietos (Los Angeles),Los Angeles,Elementary School District,No,K-08,90606,"""Whittier                      """,1210,21.2,0.4,1.3,1.5,0.5,94.1,0.2,0.5,0.1,1.4,87.5,12.56,7,N/A,N/A,21.8,1,55,N/A,N/A,2,19,1.1,14.9,35.64,49.56,25021,0,0,64,7,10,10,9
Los Olivos Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-08,93441,"""Los Olivos                    """,159,6.3,0,1.3,1.3,0,26.4,0,6.9,0,64.2,18.9,5.66,36,N/A,N/A,13.6,0,10,183,180,4,11,2.4,8.6,51.58,64.21,16698,0,3,48,1,14,10,11
Lost Hills Union Elementary (Kern),Kern,Elementary School District,No,K-08,93249,"""Lost Hills                    """,291,47.4,0,1.4,0,0,98.3,0,0,0,0.3,98.6,27.49,2,N/A,N/A,20.6,2,14,185,180,2,15,0.7,11,33.33,44.44,30734,0,1,39,7,7,7,20
Lowell Joint (Orange),Orange,Elementary School District,No,K-08,90603,"""Whittier                      """,2980,6.4,0.1,4.2,1.3,1.6,71.2,0.1,2.7,2.5,16.3,58.3,9.13,29,N/A,N/A,22,3,132,184,180,8,17,1.7,10.9,47.68,60.87,16102,0,0,61,8,8,9,13
Lucerne Elementary (Lake),Lake,Elementary School District,No,K-08,95458,"""Lucerne                       """,282,13.1,1.4,0,1.1,0.4,41.5,0,8.9,0,46.8,84.4,2.84,44,N/A,N/A,18.8,4,7,185,180,8,5,3.1,40.3,16.11,25,18956,0,0,42,16,7,8,22
Lucerne Valley Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92356,"""Lucerne Valley                """,14031,6.1,0.6,2.6,6.3,1.1,43.5,0.2,6.4,2.8,36.6,54.6,9.03,49,50,44,23.5,41,628,185,180,86,11,0.6,21.9,13.79,26.95,22529,0,1,51,9,9,9,18
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,No,K-12,93420,"""Arroyo Grande                 """,9591,11.2,0.2,1.1,0.4,0.9,50.9,0.1,4.5,1.8,40.2,59.3,13.8,40,94.7,92.8,19.1,15,484,184,180,35,13,3.7,15.5,38.57,55.17,17828,0,1,63,10,5,10,9
Luther Burbank (Santa Clara),Santa Clara,Elementary School District,No,K-08,95128,"""San Jose                      """,426,48.8,0,3.1,2.3,0.9,89.9,0.9,0,0.2,2.6,69.7,18.08,11,N/A,N/A,19.4,3,18,N/A,N/A,4,13,1.6,21,30.48,31.27,22466,0,0,66,5,11,7,6
Lynwood Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90262,"""Lynwood                       """,10900,25.4,0.1,0.1,4.5,0,94.4,0.1,0.1,0,0.6,93.5,32.69,6,89,89.7,22.2,15,457,185,180,38,16,2.8,32,22.98,34.53,24970,0,1,55,10,7,12,14
Madera County Superintendent of Schools (Madera),Madera,County Office of Education (COE),No,K-12,93637,"""Madera                        """,648,30.2,0.6,0.9,2.2,0.3,80.1,0,1.7,0.3,13.9,81.9,13.89,21,52.7,56.3,9,2,59,187,180,13,12,2.5,38.9,2.81,11.93,N/A,0,0,35,14,15,19,13
Madera Unified (Madera),Madera,Unified School District,No,K-12,93637,"""Madera                        """,21016,27.6,0.4,1.1,1.1,0.2,91.1,0,0.7,1.1,4.3,90.4,23.64,9,93.4,93.4,19.2,94,941,183,180,160,13,3.9,23.6,19.99,33.39,21575,0,5,50,13,6,10,15
Magnolia Elementary (Orange),Orange,Elementary School District,No,K-06,92804,"""Anaheim                       """,4767,34,0.4,11.5,3.6,2.7,70.4,0.8,1.8,0.8,7.9,77.2,16.76,32,N/A,N/A,21.5,6,204,186,180,17,20,0.7,15.9,40.39,48.98,23102,0,0,58,10,4,9,17
Magnolia Union Elementary (Imperial),Imperial,Elementary School District,No,K-08,92227,"""Brawley                       """,128,9.4,0,0,0,0,56.3,0,0,0,43.8,13.3,2.34,34,N/A,N/A,18.3,1,6,183,180,1,17,2.3,2.3,29.49,41.03,15607,0,0,63,6,15,8,8
Mammoth Unified (Mono),Mono,Unified School District,No,K-12,93546,"""Mammoth Lakes                 """,1087,25.9,0.1,1,0,0.1,61.6,0.1,2.4,0,34.7,43.9,23.18,34,95.7,93.8,16.1,8,56,184,180,15,11,2.2,24.4,34.43,41.51,21180,0,1,59,8,14,8,11
Manchester Union Elementary (Mendocino),Mendocino,Elementary School District,No,K-08,95459,"""Manchester                    """,34,26.5,0,0,0,0,52.9,0,11.8,0,35.3,50,14.71,42,N/A,N/A,7.4,0,2,182,180,3,7,0,36.8,4.76,23.81,43079,0,0,52,5,13,18,10
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90266,"""Manhattan Beach               """,5895,1.7,0.1,11.4,0.9,1.1,14.1,0.2,14.4,0,57.7,5.6,9.09,45,98.4,95.8,21.8,2,276,183,180,8,18,1.2,9,75.66,83.25,18693,0,1,64,9,9,7,10
Manteca Unified (San Joaquin),San Joaquin,Unified School District,No,K-12,95337,"""Manteca                       """,25248,21,0.3,14.7,5.6,5.4,55.4,1.1,3.7,0,13.8,65.9,19.01,49,92.7,92.9,22.7,98,942,186,180,184,14,3.6,22.5,22.45,36.6,16863,0,1,57,9,5,13,12
Manzanita Elementary (Butte),Butte,Elementary School District,No,K-08,95948,"""Gridley                       """,306,19.9,1.6,2.6,0.7,0,46.4,0.3,5.2,0.3,42.8,42.8,5.23,43,N/A,N/A,17.5,1,18,182,180,1,17,1,10.4,37.78,51.38,15679,0,1,57,4,8,6,17
Maple Creek Elementary (Humboldt),Humboldt,Elementary School District,No,K-07,95550,"""Korbel                        """,10,N/A,20,0,0,0,0,0,10,0,70,80,N/A,31,N/A,N/A,5,0,2,182,180,1,20,0,0,redacted,redacted,58602,0,0,39,12,23,9,5
Maple Elementary (Kern),Kern,Elementary School District,No,K-08,93263,"""Shafter                       """,287,5.6,1,0,0,0,78.7,0,0,0,20.2,60.3,9.76,22,N/A,N/A,24.3,0,13,184,180,0,14,2.8,7,50,56.18,17422,0,0,59,9,13,7,11
Marcum-Illinois Union Elementary (Sutter),Sutter,Elementary School District,No,K-12,95659,"""East Nicolaus                 """,2832,6.7,0.3,2.2,1.7,1.3,17.8,0.2,8.5,10.7,57.2,37.9,8.93,38,96.3,95.2,23.2,18,134,184,180,37,10,0.1,2.3,61.82,64.55,18260,0,0,50,7,5,16,18
Maricopa Unified (Kern),Kern,Unified School District,No,K-12,93252,"""Maricopa                      """,15701,2.6,0.4,3.4,4,1,37.6,0.3,6.6,2.6,44.1,45.6,4.25,48,80.3,76.4,26.2,21,904,N/A,N/A,72,11,0.2,3.3,15.82,23.57,30668,0,0,45,9,6,4,35
Marin County Office of Education (Marin),Marin,County Office of Education (COE),No,K-12,94903,"""San Rafael                    """,490,18.4,0.8,3.9,5.9,1,37.8,0.2,6.1,4.3,40,35.5,11.43,50,42.9,39.4,9.9,1,48,N/A,N/A,4,15,2.2,35.8,0,4.55,N/A,0,1,35,5,22,25,5
Mariposa County Office of Education (Mariposa),Mariposa,County Office of Education (COE),No,K-12,95338,"""Mariposa                      """,53,3.8,9.4,0,0,0,20.8,0,9.4,0,60.4,75.5,1.89,41,redacted,redacted,7.6,0,7,N/A,N/A,0,9,9.8,46.4,redacted,redacted,N/A,0,0,40,24,16,20,1
Mariposa County Unified (Mariposa),Mariposa,Unified School District,No,K-12,95338,"""Mariposa                      """,1825,4.9,3.2,0.7,0.8,0.3,26.1,0.2,7.4,1.3,60.1,67,4.05,39,90.6,90.2,17.5,7,94,185,180,16,13,6.4,31,25.52,35.59,22199,0,2,59,12,6,7,12
Mark Twain Union Elementary (Calaveras),Calaveras,Elementary School District,No,K-08,95222,"""Angels Camp                   """,737,6.6,2.3,0.3,0.8,0.1,21.2,0.1,4.7,0,70.4,65,0.68,31,N/A,N/A,22.5,1,30,181,180,4,11,4.9,23.1,19.05,34.35,17151,0,0,54,16,9,9,10
Mark West Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95404,"""Santa Rosa                    """,1368,8,0.7,2.7,0.7,1,33.6,0.3,6.7,0,54.2,46.3,4.61,43,N/A,N/A,19.8,0,72,186,180,4,15,3.1,11.6,42.93,53.63,21874,0,0,73,6,5,9,7
Martinez Unified (Contra Costa),Contra Costa,Unified School District,No,K-12,94553,"""Martinez                      """,3787,5.7,0.2,4.6,2.3,3.5,31.7,0.5,11,3.1,43.1,31.6,10.09,53,95.1,92.4,21.3,6,171,186,180,13,16,3.5,12.5,45.32,56.06,17110,0,0,67,8,6,9,8
Marysville Joint Unified (Yuba),Yuba,Unified School District,No,K-12,95901,"""Marysville                    """,10654,16,1.2,8.8,3.1,0.5,49.1,0.6,6.4,1.3,29,72.8,12.24,50,88.9,90,21.6,73,379,183,180,126,11,5.7,19.9,20.74,33.63,19205,0,1,51,15,6,9,11
Mattole Unified (Humboldt),Humboldt,Unified School District,No,K-12,95558,"""Petrolia                      """,42,4.8,0,0,0,0,21.4,0,28.6,2.4,47.6,45.2,2.38,47,redacted,N/A,10.5,1,3,183,180,1,15,0,20.4,52.94,35.29,27339,0,0,56,5,9,12,17
Maxwell Unified (Colusa),Colusa,Unified School District,No,K-12,95955,"""Maxwell                       """,331,30.2,2.1,1.2,0,0,57.1,0,1.2,0.3,38.1,72.2,16.31,37,100,100,14.3,4,16,185,180,8,11,2.5,8.3,24.59,35.14,19562,0,1,47,10,9,10,14
McCabe Union Elementary (Imperial),Imperial,Elementary School District,No,K-08,92243,"""El Centro                     """,1109,13.1,0,2.1,0.3,0.2,87.4,0,0.5,1.4,8.2,42.3,19.57,13,N/A,N/A,23.8,8,36,185,180,11,8,1.9,7.3,49.61,60.8,16633,0,0,42,9,8,5,29
McCloud Union Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96057,"""McCloud                       """,54,N/A,0,0,0,0,24.1,0,16.7,0,59.3,85.2,N/A,40,N/A,N/A,13.9,0,4,182,180,1,12,8.2,46.7,22.22,53.57,22010,0,1,53,1,17,11,14
McFarland Unified (Kern),Kern,Unified School District,No,K-12,93250,"""McFarland                     """,3282,31,0,0.5,0.4,0.4,97.9,0,0,0.2,0.5,85.3,32.27,2,94,94.1,23.9,1,123,184,180,17,13,2.3,9,24.8,36.46,20151,0,2,50,14,6,7,18
McKinleyville Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95519,"""McKinleyville                 """,840,4,7.9,0.7,1,0,17.1,0.4,15.5,1.8,55.7,58.1,1.9,46,N/A,N/A,21.8,1,38,N/A,N/A,2,15,11.8,25.2,28.83,35.97,18619,0,1,53,7,7,10,9
McKittrick Elementary (Kern),Kern,Elementary School District,No,K-08,93251,"""McKittrick                    """,61,1.6,0,1.6,4.9,0,34.4,0,0,0,59,37.7,8.2,37,N/A,N/A,12.2,0,5,185,180,0,17,0,0,57.14,54.76,44612,0,0,42,6,12,12,28
McSwain Union Elementary (Merced),Merced,Elementary School District,No,K-08,95341,"""Merced                        """,912,9,0.2,6.1,0.3,0,50.9,0,3.6,0,38.8,35.1,5.81,42,N/A,N/A,20.9,16,27,183,180,19,8,2.3,7.7,36.51,52.34,14046,0,0,51,7,10,7,24
Meadows Union (Imperial),Imperial,Elementary School District,No,K-08,92243,"""El Centro                     """,352,54.8,0.3,0,0.9,0,91.5,0.3,0.6,0.3,6.3,78.7,8.52,9,N/A,N/A,16.8,0,20,185,180,1,16,1.4,10.6,26.16,27.95,23481,0,1,42,8,9,7,18
Mendocino County Office of Education (Mendocino),Mendocino,County Office of Education (COE),No,02-12,95482,"""Ukiah                         """,43,7,11.6,0,0,0,34.9,0,18.6,0,34.9,88.4,16.28,56,redacted,redacted,7.7,1,5,188,180,1,13,17.1,53.3,0,4.55,N/A,0,0,22,19,21,26,6
Mendocino Unified (Mendocino),Mendocino,Unified School District,No,K-12,95460,"""Mendocino                     """,428,3.7,0.2,1.2,0.7,0.5,16.4,0,5.6,1.4,74.1,65.4,6.78,27,93.9,97.2,12.7,0,38,185,180,1,13,2.5,27.1,43,58.42,25748,0,4,52,12,9,11,13
Mendota Unified (Fresno),Fresno,Unified School District,No,K-12,93640,"""Mendota                       """,3977,55.6,0,0.3,0,0,98.7,0,0.1,0.2,0.8,97.8,29.37,1,91.8,91.7,22.8,7,155,186,181,21,12,4.9,11.3,24.52,36.32,19298,0,0,52,7,5,9,27
Menifee Union (Riverside),Riverside,Elementary School District,No,K-12,92586,"""Menifee                       """,13989,7,0.2,2.3,5.7,3.9,51.5,0.4,6.5,5.9,23.5,58.4,5.88,47,99.2,97.6,22.6,14,578,184,184,48,13,2.7,11.5,38.56,47.96,16556,0,0,64,9,4,12,10
Menlo Park City Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94027,"""Atherton                      """,2685,7.6,0.1,18,0.7,0.6,20.7,0.9,12,1,46,11.4,16.91,54,N/A,N/A,15.5,6,176,189,180,9,17,0.6,5.4,78.13,79.61,29255,0,0,67,7,8,11,7
Merced City Elementary (Merced),Merced,Elementary School District,No,K-08,95340,"""Merced                        """,11108,16.4,0.4,8.6,4.7,0.5,70.1,0.2,3.2,1.5,10.8,80.3,8.91,32,N/A,N/A,23.4,1,473,184,180,23,14,6,22.5,21.9,34.9,18875,0,0,59,11,5,12,11
Merced County Office of Education (Merced),Merced,County Office of Education (COE),No,K-12,95341,"""Merced                        """,1894,19.6,0.5,3.4,3.6,0.6,75.6,0.4,2.2,0.3,13.3,76.9,11.56,27,62.4,62.9,13.9,8,114,184,180,27,10,1.7,42.8,3.39,17.02,N/A,0,0,37,19,9,21,13
Merced River Union Elementary (Merced),Merced,Elementary School District,No,K-08,95388,"""Winton                        """,295,17.6,0.7,0,1.4,0,53.9,0,1.4,2,40.7,79.7,11.86,37,N/A,N/A,23.1,4,8,N/A,N/A,5,5,0.3,12.7,34.27,38.42,17775,0,0,66,11,10,5,8
Merced Union High (Merced),Merced,High School District,No,09-12,95301,"""Atwater                       """,11062,12,0.5,7.5,3.6,0.6,73.4,0.2,1.6,0.8,11.8,81.2,36.94,29,94.1,93.8,20.8,23,433,184,180,70,13,0.9,27.3,13.46,42.44,19638,0,2,52,13,7,13,9
Meridian Elementary (Sutter),Sutter,Elementary School District,No,K-12,95957,"""Meridian                      """,1701,8.9,1.4,8.8,16.2,2.1,29.2,1.6,8.1,0,32.7,71.5,9.05,65,74.5,71.8,23,7,411,N/A,N/A,28,10,0.1,11.5,18.03,26.23,17535,0,0,39,12,5,19,16
Mesa Union Elementary (Ventura),Ventura,Elementary School District,No,K-12,93066,"""Somis                         """,1171,6.7,0.1,2.7,0.8,0.8,57.8,0,6.2,1.2,30.4,38.1,7.34,40,93.5,redacted,23.4,3,55,188,180,3,16,0.2,3.4,40.1,54.39,14981,0,0,61,6,8,7,8
Middletown Unified (Lake),Lake,Unified School District,No,K-12,95461,"""Middletown                    """,1685,7.1,1.1,0.7,0.7,0.5,31.7,0.1,7.1,0.3,57.8,53.3,7.36,40,85.6,84.2,21.3,5,283,184,180,11,12,5,30.2,34.45,47.14,17348,0,1,57,12,10,9,9
Midway Elementary (Kern),Kern,Elementary School District,No,K-08,93224,"""Fellows                       """,65,4.6,1.5,0,0,0,16.9,0,1.5,0,80,52.3,1.54,21,N/A,N/A,12,0,6,185,180,0,11,0,12.1,57.14,58.54,27653,0,0,52,13,10,8,15
Mill Valley Elementary (Marin),Marin,Elementary School District,No,K-08,94941,"""Mill Valley                   """,2313,3.6,0.3,5.1,0.5,0.5,9.3,0,11.3,2.5,70.5,5.4,8.3,30,N/A,N/A,15.8,0,144,186,180,7,16,2.6,7.2,79.21,82.63,27608,0,0,60,5,12,11,12
Millbrae Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94030,"""Millbrae                      """,2107,19.1,0,46.9,0.5,7.1,21.6,1.7,9.6,0.5,12.1,19.4,24.82,55,N/A,N/A,22.9,2,87,185,180,5,16,1.8,9.1,62.6,66.15,16707,0,3,57,8,11,10,11
Miller Creek Elementary (Marin),Marin,Elementary School District,No,K-08,94903,"""San Rafael                    """,1755,15.1,0.1,4.7,1.3,1.3,26.7,0.1,10.1,1.4,54.5,19.5,10.6,45,N/A,N/A,20.8,2,85,N/A,N/A,5,17,2.3,9.8,58.54,66.27,18493,0,0,61,7,7,10,9
Millville Elementary (Shasta),Shasta,Elementary School District,No,K-08,96062,"""Millville                     """,208,N/A,4.3,1,1.4,0,7.2,1,5.8,1.4,77.9,45.7,0.96,24,N/A,N/A,18.7,0,11,185,180,1,15,2.7,13.9,52.94,54.48,18585,0,0,57,13,9,9,10
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,No,K-12,95035,"""Milpitas                      """,10086,20.5,0.3,55.3,1.7,11.9,19.6,0.4,6,1,3.9,38.1,33.59,47,94.2,94,22.9,15,414,186,180,37,13,1.6,9.5,63.72,71.27,18174,0,0,62,6,5,15,9
Mission Union Elementary (Monterey),Monterey,Elementary School District,No,K-08,93960,"""Soledad                       """,130,13.8,0,3.1,1.5,1.5,71.5,0,0,0,22.3,36.9,7.69,29,N/A,N/A,16.3,5,3,184,180,5,4,0,6.9,29.11,56.96,18828,0,0,63,7,8,14,9
Modesto City Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-12,95351,"""Modesto                       """,15660,30.8,0.3,3.6,2,0.4,72.1,0.4,4.3,2.6,14.3,81.1,12.41,28,94.8,97.4,21.4,16,736,N/A,N/A,63,15,2.6,15.5,24.43,33.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Modesto City High (Stanislaus),Stanislaus,High School District,No,06-12,95351,"""Modesto                       """,16060,16.4,0.3,5.1,2.5,1.3,63.6,0.7,4.3,5.3,17.1,70.3,29.61,35,92.9,91.9,22.1,5,705,N/A,N/A,42,15,3.8,25,20.63,46.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Modesto City Schools (Stanislaus),Stanislaus,Common Administration District,No,N/A,95351,Modesto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,185,180,N/A,N/A,N/A,N/A,N/A,N/A,19858,0,1,53,11,6,14,10
Modoc Joint Unified (Modoc),Modoc,Unified School District,No,K-12,96101,"""Alturas                       """,766,3.8,6.7,0.3,1.2,0.4,21.1,0.4,6.3,0.7,63.1,68.9,3.26,38,92.3,90.9,16.5,2,43,185,180,5,11,3.1,14.9,23.19,37.22,18978,0,3,58,5,8,9,15
Mojave Unified (Kern),Kern,Unified School District,No,K-12,93501,"""Mojave                        """,2904,15.9,0.3,1.8,26.8,0.2,52.2,0.2,6.5,0.4,11.5,84.4,7.06,48,77.4,77,23.2,13,104,184,180,22,11,13.4,51.4,7.2,19.06,23395,0,0,45,17,7,10,20
Mono County Office of Education (Mono),Mono,County Office of Education (COE),No,09-12,93546,"""Mammoth Lakes                 """,209,40.2,0,7.2,9.1,0,60.8,0.5,3.8,0,18.7,98.6,11.96,42,redacted,redacted,18.5,0,7,181,180,5,8,0.9,25.4,redacted,redacted,N/A,0,0,15,9,38,20,5
Monrovia Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91016,"""Monrovia                      """,4920,10.2,0.1,9,4.1,2.4,63,0.1,5.7,0.9,14.6,61.7,17.97,40,95.1,95.6,22.6,17,190,185,180,34,14,2.8,16.3,42.04,54.78,18416,0,1,58,10,8,9,10
Monson-Sultana Joint Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93666,"""Sultana                       """,440,36.4,0,0.2,0,0,97.5,0,0.2,0,2,87.7,8.18,3,N/A,N/A,21,0,20,185,180,1,10,4.8,7,42.81,37.89,19580,0,0,55,7,8,12,18
