District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Shasta Union High (Shasta),Shasta,High School District,No,06-12,96001,"""Redding                       """,5492,1.8,4.1,5.6,2.6,0.5,17,0.4,4.5,1.7,63.7,48.5,7.05,38,93.7,92.7,20.9,20,231,184,180,39,12,4.4,18.7,41.69,58.5,18626,0,2,54,13,9,7,13
Shiloh Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-08,95358,"""Modesto                       """,187,28.9,1.1,0,0,0,53.2,0.5,1.6,1.6,42,63.6,5.88,37,N/A,N/A,16.1,0,12,184,180,0,11,0.5,14.9,38.26,41.74,19033,0,0,71,4,7,12,7
Shoreline Unified (Marin),Marin,Unified School District,No,K-12,94971,"""Tomales                       """,473,30.2,0.6,0.4,0,0,65.5,0.2,1.7,0.2,31.3,72.7,26.22,32,96.4,95.2,10.1,2,43,187,180,4,15,2.3,20.3,31.78,35.17,45129,0,1,55,11,10,10,9
Sierra Sands Unified (Kern),Kern,Unified School District,No,K-12,93555,"""Ridgecrest                    """,4974,5.9,1,1.9,7.9,1.4,34.6,0.6,5.5,1.1,46.1,58.8,6.27,49,75.8,72.2,20.8,30,208,185,180,40,10,7.7,27.1,27.86,40.52,19178,0,1,56,12,8,11,11
Sierra Unified (Fresno),Fresno,Unified School District,No,K-12,93651,"""Prather                       """,1251,1.1,14.5,0.7,0.5,0.4,21.5,0,5.4,1.7,55.3,44.9,1.6,45,93.3,94.9,17.5,14,50,186,180,24,11,8.6,31.7,28,43.19,20945,0,0,57,14,7,8,13
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,No,K-12,96118,"""Loyalton                      """,414,5.1,1,0,0.5,0,19.1,0.7,5.6,1.4,71.7,34.8,1.45,29,100,100,14.4,1,27,182,180,2,12,5.6,19.5,30.15,44,20359,0,1,53,7,10,10,16
Silver Fork Elementary (El Dorado),El Dorado,Elementary School District,No,02-08,95726,"""Pollock Pines                 """,10,N/A,0,0,0,0,10,0,0,0,90,40,N/A,11,N/A,N/A,5,0,2,N/A,N/A,0,22,0,9.1,redacted,redacted,52431,0,0,57,13,15,7,8
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92398,"""Yermo                         """,2188,4.8,0.4,1.1,8.2,1.3,43.6,2.9,8.9,0.1,33.5,67.7,3.47,53,100,100,16.8,13,101,N/A,N/A,33,11,2.7,18.5,30.99,48.99,23087,0,1,50,12,8,10,19
Simi Valley Unified (Ventura),Ventura,Unified School District,No,K-12,93065,"""Simi Valley                   """,15444,11.1,0.1,7.3,1.6,2.4,45.3,0.2,4.4,0,38.7,45.4,10.81,48,94.9,94,20.7,51,710,187,180,77,15,3.2,17.8,36.67,50.21,17900,0,1,55,12,6,13,12
Siskiyou County Office of Education (Siskiyou),Siskiyou,County Office of Education (COE),No,K-12,96097,"""Yreka                         """,697,0.9,3.3,1,0.7,0,14.6,0,11.2,1.1,68,72.6,1.58,34,82.7,80.9,13.2,4,53,N/A,N/A,11,11,0.1,12.4,N/A,redacted,N/A,0,0,18,32,15,25,3
Siskiyou Union High (Siskiyou),Siskiyou,High School District,No,09-12,96067,"""Mount Shasta                  """,476,4.4,3.6,1.1,3.6,0.2,16.2,0,15.5,4,55.9,48.5,5.46,44,87.2,84.8,13.9,2,32,N/A,N/A,8,12,6.7,35.2,13.48,42.86,24774,0,2,54,8,9,10,15
