dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status
Bennett Valley Union Elementary (Sonoma),Moderate Overperformer,0.5266285516413466,93.0,190.0,General
Mountain View Whisman (Santa Clara),Moderate Overperformer,0.5240403675448646,69.0,89.0,Differentiated
El Tejon Unified (Kern),Moderate Overperformer,0.5152866626538976,84.5,154.0,Differentiated
National Elementary (San Diego),Moderate Overperformer,0.5149302797455063,70.5,128.0,General
Palos Verdes Peninsula Unified (Los Angeles),Moderate Overperformer,0.5139781761398526,61.5,75.0,General
Manhattan Beach Unified (Los Angeles),Moderate Overperformer,0.5072562222092885,59.5,58.0,General
Saddleback Valley Unified (Orange),Expected Performer,0.4970598367452985,83.0,159.0,Differentiated
Gateway Unified (Shasta),Expected Performer,0.4890338753099712,79.0,123.0,Differentiated
Beverly Hills Unified (Los Angeles),Expected Performer,0.4887936975445504,64.0,69.0,Differentiated
Fresno Unified (Fresno),Expected Performer,0.48144278650581807,101.5,202.0,Differentiated
Camino Union Elementary (El Dorado),Expected Performer,0.46954269939106485,84.0,150.0,Differentiated
Taft Union High (Kern),Mixed/Volatile Results,0.4681934274349563,227.0,590.0,Differentiated
Goleta Union Elementary (Santa Barbara),Expected Performer,0.4601906950149794,93.5,172.0,General
Chatom Union (Stanislaus),Expected Performer,0.4558400207289152,75.0,137.0,Differentiated
Penn Valley Union Elementary (Nevada),Expected Performer,0.45519992576450946,91.5,182.0,General
Davis Joint Unified (Yolo),Expected Performer,0.45462548244743073,89.5,167.0,Differentiated
Fall River Joint Unified (Shasta),Expected Performer,0.4497622255315246,83.5,142.0,Differentiated
El Rancho Unified (Los Angeles),Expected Performer,0.44497508802034336,101.5,226.0,Differentiated
Mendota Unified (Fresno),Expected Performer,0.44354237718601625,65.5,94.0,Differentiated
Rio Bravo-Greeley Union Elementary (Kern),Expected Performer,0.4366916277292886,68.0,84.0,General
Central Elementary (San Bernardino),Expected Performer,0.42826987242114556,95.0,195.0,Differentiated
Poway Unified (San Diego),Expected Performer,0.4254070343278963,96.0,177.0,General
Temecula Valley Unified (Riverside),Expected Performer,0.42514519358292396,106.5,250.0,Differentiated
Woodlake Unified (Tulare),Expected Performer,0.41638721855646627,117.0,224.0,Differentiated
Anderson Union High (Shasta),Expected Performer,0.41564182596330834,85.5,155.0,Differentiated
Sequoia Union High (San Mateo),Expected Performer,0.4129089193011193,96.5,162.0,Differentiated
Wright Elementary (Sonoma),Expected Performer,0.4118830986066709,100.0,180.0,Differentiated
Central Unified (Fresno),Expected Performer,0.40719560903191293,79.0,132.0,Differentiated
Alameda Unified (Alameda),Expected Performer,0.39787480781706636,97.0,195.0,Differentiated
Central Union High (Imperial),Mixed/Volatile Results,0.3970750582953161,183.5,477.0,Differentiated
Cottonwood Union Elementary (Shasta),Expected Performer,0.3939408008276361,77.0,122.0,Differentiated
San Dieguito Union High (San Diego),Expected Performer,0.3890176446570477,79.0,134.0,General
Burlingame Elementary (San Mateo),Expected Performer,0.3879975220831228,89.5,200.0,Differentiated
Monrovia Unified (Los Angeles),Expected Performer,0.38568564045892484,64.0,80.0,Differentiated
Orange Unified (Orange),Expected Performer,0.3840784310076963,50.0,31.0,Differentiated
Kentfield Elementary (Marin),Expected Performer,0.3672001181125092,71.5,122.0,Differentiated
Glendora Unified (Los Angeles),Expected Performer,0.361604032123004,91.5,196.0,Differentiated
Eureka Union (Placer),Expected Performer,0.3612847399751396,72.5,99.0,General
Milpitas Unified (Santa Clara),Expected Performer,0.35573936139571155,101.0,196.0,Differentiated
Castaic Union (Los Angeles),Expected Performer,0.35538677050869655,54.0,52.0,General
